,2010,2011,2012,2013,2014,2015,2016,2017
0,4,4,4,3,5.0,4.0,3.0,4.0
1,4,4,5,4,5.0,4.0,3.0,3.0
2,4,3,5,0,4.0,5.0,4.0,4.0
3,3,5,6,4,5.0,4.0,6.0,4.0
4,5,4,4,4,5.0,3.0,5.0,4.0
5,4,3,4,4,4.0,4.0,3.0,4.0
6,4,4,4,4,5.0,4.0,5.0,4.0
7,5,5,5,5,4.0,2.0,5.0,4.0
8,5,5,4,4,5.0,4.0,5.0,4.0
9,4,4,0,4,4.0,4.0,4.0,5.0
10,4,5,4,4,3.0,3.0,4.0,4.0
11,5,4,4,4,5.0,5.0,5.0,3.0
12,3,4,4,4,4.0,4.0,4.0,0.0
13,3,4,4,3,5.0,4.0,5.0,4.0
14,4,3,4,5,4.0,4.0,4.0,5.0
15,3,4,5,4,4.0,3.0,5.0,5.0
16,0,5,4,3,5.0,0.0,3.0,4.0
17,3,3,3,4,4.0,5.0,5.0,0.0
18,3,4,5,5,4.0,5.0,5.0,4.0
19,5,4,4,4,4.0,4.0,4.0,5.0
20,4,5,3,4,5.0,5.0,3.0,4.0
21,1,4,3,4,4.0,4.0,4.0,4.0
22,3,4,4,4,4.0,3.0,4.0,4.0
23,4,4,4,4,3.0,4.0,4.0,3.0
24,5,4,4,4,4.0,5.0,4.0,3.0
25,3,4,4,3,4.0,4.0,4.0,4.0
26,3,4,3,4,4.0,4.0,5.0,0.0
27,5,4,4,6,4.0,5.0,5.0,4.0
28,4,4,4,4,4.0,3.0,6.0,4.0
29,3,4,3,5,3.0,4.0,4.0,4.0
30,4,4,3,5,4.0,4.0,4.0,5.0
31,4,3,4,4,5.0,4.0,4.0,1.0
32,4,3,4,5,4.0,5.0,3.0,4.0
33,0,4,3,3,4.0,4.0,4.0,5.0
34,5,0,4,4,0.0,3.0,4.0,2.0
35,4,5,4,3,4.0,5.0,3.0,4.0
36,3,3,4,4,3.0,3.0,0.0,3.0
37,4,4,4,4,4.0,4.0,3.0,4.0
38,3,5,4,3,5.0,5.0,4.0,3.0
39,3,5,5,0,5.0,5.0,0.0,4.0
40,0,4,4,3,4.0,4.0,4.0,4.0
41,0,3,4,4,4.0,4.0,4.0,4.0
42,4,5,5,3,3.0,5.0,4.0,4.0
43,4,4,4,4,3.0,5.0,4.0,4.0
44,4,4,4,4,4.0,4.0,0.0,5.0
45,5,0,5,4,3.0,5.0,3.0,5.0
46,4,5,4,4,4.0,4.0,4.0,4.0
47,4,4,6,4,4.0,5.0,4.0,3.0
48,6,4,5,4,4.0,5.0,4.0,0.0
49,0,4,4,5,4.0,4.0,1.0,4.0
50,4,5,4,0,4.0,1.0,5.0,4.0
51,4,3,4,4,5.0,4.0,0.0,5.0
52,4,4,5,5,4.0,5.0,5.0,3.0
53,6,4,4,4,5.0,4.0,5.0,4.0
54,6,4,5,4,3.0,5.0,5.0,3.0
55,5,4,4,3,3.0,5.0,4.0,3.0
56,5,5,5,4,3.0,5.0,4.0,4.0
57,5,3,5,4,4.0,4.0,3.0,0.0
58,4,3,4,4,5.0,4.0,3.0,5.0
59,4,0,3,5,4.0,0.0,4.0,4.0
60,4,4,3,4,4.0,6.0,4.0,4.0
61,4,3,5,5,4.0,4.0,4.0,5.0
62,4,3,5,5,3.0,0.0,4.0,4.0
63,4,4,5,4,4.0,3.0,4.0,4.0
64,3,5,4,4,5.0,4.0,4.0,4.0
65,4,5,4,3,4.0,4.0,4.0,4.0
66,4,4,4,4,5.0,5.0,6.0,4.0
67,3,3,0,3,3.0,4.0,5.0,4.0
68,4,5,4,4,3.0,5.0,5.0,5.0
69,3,3,4,3,2.0,4.0,5.0,4.0
70,4,3,4,4,4.0,4.0,3.0,3.0
71,3,3,5,3,4.0,4.0,4.0,4.0
72,5,4,4,4,4.0,4.0,4.0,4.0
73,5,4,4,4,5.0,2.0,4.0,4.0
74,0,3,4,4,5.0,5.0,5.0,3.0
75,4,4,4,5,3.0,4.0,4.0,3.0
76,4,4,3,0,5.0,4.0,0.0,4.0
77,4,4,4,5,4.0,3.0,4.0,4.0
78,4,4,3,4,5.0,5.0,4.0,4.0
79,3,4,4,4,3.0,3.0,4.0,4.0
80,4,4,4,4,3.0,4.0,3.0,4.0
81,3,5,4,4,0.0,4.0,0.0,3.0
82,4,4,4,4,4.0,4.0,0.0,4.0
83,5,4,4,4,5.0,2.0,4.0,4.0
84,3,4,5,4,5.0,5.0,3.0,5.0
85,4,3,3,4,4.0,4.0,5.0,5.0
86,4,3,4,3,4.0,3.0,5.0,5.0
87,4,3,2,4,4.0,4.0,5.0,5.0
88,5,4,4,3,3.0,4.0,3.0,4.0
89,4,4,4,4,5.0,5.0,4.0,4.0
90,4,4,4,4,4.0,5.0,4.0,5.0
91,4,4,4,4,4.0,4.0,5.0,4.0
92,5,4,4,4,4.0,4.0,5.0,4.0
93,5,3,4,4,5.0,5.0,4.0,0.0
94,4,0,4,4,4.0,4.0,4.0,5.0
95,4,3,0,4,4.0,5.0,4.0,4.0
96,3,1,4,4,5.0,4.0,5.0,4.0
97,4,5,3,4,4.0,4.0,0.0,4.0
98,4,4,4,5,4.0,5.0,4.0,4.0
99,4,5,4,3,4.0,0.0,2.0,4.0
100,4,4,5,0,4.0,5.0,3.0,4.0
101,5,3,4,4,5.0,4.0,4.0,5.0
102,5,4,5,4,4.0,3.0,5.0,4.0
103,3,4,3,3,4.0,4.0,0.0,4.0
104,5,4,3,5,3.0,4.0,5.0,4.0
105,4,4,4,4,4.0,4.0,5.0,4.0
106,4,4,4,4,3.0,4.0,4.0,4.0
107,3,3,5,4,3.0,5.0,4.0,4.0
108,4,3,3,4,3.0,4.0,0.0,4.0
109,4,6,4,5,4.0,5.0,3.0,5.0
110,4,5,3,4,5.0,4.0,4.0,5.0
111,3,4,4,4,3.0,3.0,4.0,4.0
112,3,4,4,4,5.0,3.0,4.0,5.0
113,4,4,5,4,4.0,0.0,5.0,4.0
114,4,4,4,5,4.0,4.0,4.0,4.0
115,3,5,4,5,4.0,4.0,4.0,0.0
116,6,4,3,5,4.0,4.0,4.0,4.0
117,5,4,4,4,4.0,4.0,5.0,5.0
118,4,5,3,4,5.0,4.0,5.0,4.0
119,4,5,6,4,4.0,4.0,0.0,4.0
120,4,5,4,5,5.0,5.0,2.0,5.0
121,2,4,6,4,3.0,5.0,4.0,4.0
