,2010,2011,2012,2013,2014,2015,2016,2017
0,5,4,4,3,5.0,5.0,6.0,6.0
1,6,6,3,4,6.0,6.0,3.0,3.0
2,6,6,6,3,6.0,4.0,4.0,5.0
3,3,5,6,3,6.0,6.0,6.0,5.0
4,5,5,4,3,5.0,3.0,5.0,6.0
5,6,3,6,4,5.0,5.0,2.0,3.0
6,3,3,4,3,5.0,3.0,3.0,4.0
7,5,6,6,5,4.0,3.0,4.0,6.0
8,5,6,6,5,4.0,5.0,5.0,5.0
9,5,4,4,3,5.0,4.0,6.0,6.0
10,4,6,3,3,3.0,0.0,4.0,6.0
11,4,2,6,4,5.0,4.0,5.0,3.0
12,6,6,4,4,4.0,0.0,3.0,4.0
13,6,6,6,3,4.0,3.0,5.0,5.0
14,6,1,6,4,4.0,4.0,4.0,5.0
15,6,6,6,3,4.0,5.0,5.0,0.0
16,6,4,4,2,6.0,0.0,4.0,3.0
17,3,6,3,5,5.0,4.0,5.0,5.0
18,6,6,5,5,0.0,5.0,5.0,6.0
19,4,5,3,6,6.0,4.0,5.0,5.0
20,6,5,6,3,6.0,5.0,2.0,3.0
21,4,5,2,3,6.0,4.0,4.0,4.0
22,6,5,3,5,6.0,4.0,3.0,3.0
23,6,6,4,6,6.0,4.0,5.0,2.0
24,6,5,6,4,6.0,5.0,5.0,3.0
25,3,4,6,4,6.0,5.0,4.0,4.0
26,2,4,6,4,6.0,4.0,5.0,4.0
27,4,4,4,6,0.0,5.0,5.0,4.0
28,3,4,4,4,4.0,4.0,6.0,4.0
29,3,3,6,5,5.0,4.0,4.0,4.0
30,4,5,3,6,6.0,1.0,4.0,5.0
31,4,4,4,4,5.0,5.0,6.0,2.0
32,6,6,3,4,6.0,5.0,4.0,5.0
33,4,4,4,3,6.0,3.0,3.0,5.0
34,5,5,6,4,2.0,3.0,5.0,2.0
35,5,5,6,4,3.0,5.0,4.0,6.0
36,3,3,5,4,6.0,6.0,5.0,6.0
37,4,4,6,3,3.0,3.0,3.0,3.0
38,4,4,6,3,5.0,5.0,5.0,6.0
39,3,5,4,0,4.0,6.0,6.0,6.0
40,6,5,3,4,6.0,3.0,4.0,3.0
41,6,6,4,6,6.0,4.0,5.0,4.0
42,3,4,5,6,4.0,5.0,4.0,6.0
43,4,3,3,5,3.0,6.0,4.0,2.0
44,6,3,6,4,4.0,4.0,5.0,5.0
45,6,6,5,6,3.0,5.0,6.0,5.0
46,4,5,6,6,3.0,3.0,6.0,4.0
47,5,4,6,6,6.0,5.0,6.0,6.0
48,6,5,6,3,5.0,5.0,3.0,3.0
49,3,4,4,5,3.0,4.0,1.0,4.0
50,4,5,6,5,4.0,3.0,0.0,4.0
51,4,3,6,5,5.0,3.0,4.0,4.0
52,3,4,4,5,3.0,4.0,5.0,3.0
53,3,4,6,4,6.0,4.0,5.0,4.0
54,6,4,5,6,1.0,5.0,5.0,3.0
55,6,5,4,3,3.0,4.0,4.0,3.0
56,5,4,5,3,3.0,5.0,5.0,4.0
57,6,3,3,5,6.0,4.0,5.0,4.0
58,6,3,3,5,4.0,4.0,0.0,3.0
59,6,0,4,5,4.0,2.0,4.0,3.0
60,4,4,4,6,4.0,4.0,5.0,6.0
61,4,2,4,5,6.0,4.0,5.0,5.0
62,3,4,4,4,2.0,4.0,3.0,5.0
63,4,2,5,5,5.0,2.0,4.0,5.0
64,6,5,6,3,6.0,3.0,3.0,4.0
65,3,5,4,6,4.0,3.0,3.0,4.0
66,6,3,4,5,5.0,5.0,0.0,5.0
67,3,3,4,3,6.0,4.0,4.0,4.0
68,5,4,6,6,3.0,5.0,5.0,5.0
69,3,3,4,5,2.0,6.0,5.0,4.0
70,6,3,4,4,3.0,4.0,3.0,3.0
71,6,4,6,6,4.0,0.0,5.0,4.0
72,6,4,6,4,5.0,4.0,5.0,3.0
73,5,5,6,5,4.0,2.0,1.0,2.0
74,6,5,5,5,4.0,5.0,5.0,2.0
75,5,6,3,5,2.0,3.0,4.0,2.0
76,4,4,3,4,5.0,5.0,5.0,3.0
77,4,4,3,3,3.0,3.0,5.0,5.0
78,5,3,2,4,3.0,6.0,4.0,4.0
79,3,4,3,4,3.0,5.0,3.0,4.0
80,4,4,5,4,3.0,3.0,6.0,6.0
81,3,5,4,4,6.0,3.0,1.0,6.0
82,4,3,4,6,5.0,3.0,4.0,3.0
83,0,4,3,6,5.0,3.0,3.0,5.0
84,2,3,5,4,5.0,6.0,1.0,5.0
85,4,6,4,4,6.0,4.0,0.0,5.0
86,5,3,3,3,6.0,3.0,5.0,5.0
87,3,3,4,5,5.0,4.0,5.0,5.0
88,5,3,4,4,6.0,5.0,4.0,3.0
89,4,3,4,6,4.0,5.0,4.0,5.0
90,4,4,0,4,5.0,5.0,2.0,6.0
91,5,4,4,6,5.0,4.0,5.0,4.0
92,6,4,4,4,4.0,3.0,0.0,6.0
93,3,3,6,5,5.0,5.0,4.0,5.0
94,5,4,3,5,6.0,5.0,3.0,5.0
95,6,0,0,4,4.0,5.0,0.0,5.0
96,6,0,3,4,5.0,4.0,5.0,4.0
97,4,6,3,5,5.0,4.0,0.0,3.0
98,4,3,4,5,6.0,5.0,2.0,5.0
99,4,6,3,5,6.0,4.0,6.0,3.0
100,4,4,5,0,4.0,5.0,6.0,5.0
101,6,6,4,5,4.0,6.0,4.0,5.0
