,2010,2011,2012,2013,2014,2015,2016,2017
0,3,4,4,4,5.0,5.0,2.0,6.0
1,3,4,4,4,6.0,4.0,3.0,3.0
2,6,6,6,4,3.0,4.0,4.0,5.0
3,6,4,6,3,5.0,6.0,6.0,5.0
4,5,3,4,3,5.0,3.0,5.0,3.0
5,6,4,6,3,5.0,3.0,3.0,3.0
6,2,3,4,3,4.0,3.0,4.0,4.0
7,5,6,6,4,4.0,2.0,2.0,4.0
8,5,5,6,5,4.0,4.0,5.0,3.0
9,4,3,6,3,4.0,4.0,4.0,4.0
10,3,5,4,3,3.0,2.0,4.0,3.0
11,4,4,6,4,4.0,5.0,4.0,3.0
12,3,3,4,3,4.0,0.0,4.0,3.0
13,3,3,4,3,4.0,2.0,4.0,3.0
14,3,3,4,6,4.0,4.0,3.0,5.0
15,3,5,6,3,4.0,4.0,3.0,5.0
16,3,6,4,1,3.0,0.0,2.0,4.0
17,3,6,2,4,4.0,4.0,5.0,3.0
18,3,6,3,5,4.0,5.0,4.0,5.0
19,4,6,3,4,4.0,4.0,5.0,3.0
20,6,5,6,6,4.0,0.0,1.0,3.0
21,4,5,2,3,4.0,4.0,3.0,4.0
22,6,6,2,5,4.0,2.0,4.0,3.0
23,3,4,3,6,4.0,3.0,5.0,3.0
24,6,6,6,4,2.0,4.0,4.0,3.0
25,4,4,5,2,4.0,4.0,2.0,4.0
26,3,4,6,2,6.0,5.0,1.0,4.0
27,4,4,4,6,4.0,5.0,5.0,4.0
28,6,4,6,3,3.0,3.0,6.0,3.0
29,1,4,3,3,2.0,6.0,3.0,4.0
30,3,3,3,3,2.0,1.0,4.0,5.0
31,4,5,6,3,4.0,3.0,6.0,2.0
32,4,6,3,5,4.0,4.0,4.0,2.0
33,6,3,3,3,4.0,2.0,4.0,4.0
34,5,6,6,3,5.0,3.0,4.0,1.0
35,3,4,6,3,3.0,4.0,3.0,3.0
36,3,6,4,3,4.0,3.0,5.0,2.0
37,4,6,4,2,3.0,4.0,6.0,3.0
38,4,6,6,2,6.0,5.0,4.0,3.0
39,3,6,6,0,4.0,6.0,4.0,6.0
40,4,4,2,4,4.0,4.0,3.0,3.0
41,6,3,6,4,4.0,4.0,5.0,4.0
42,2,4,0,3,4.0,5.0,3.0,1.0
43,6,3,6,4,6.0,5.0,4.0,3.0
44,6,6,3,3,6.0,5.0,5.0,5.0
45,6,6,4,3,3.0,4.0,3.0,5.0
46,4,5,4,3,3.0,3.0,6.0,6.0
47,3,3,3,6,3.0,4.0,6.0,3.0
48,6,5,6,5,4.0,5.0,3.0,2.0
49,3,3,4,3,3.0,4.0,6.0,3.0
50,4,3,4,4,6.0,3.0,4.0,3.0
51,4,3,2,6,4.0,4.0,4.0,5.0
52,3,3,3,3,6.0,4.0,1.0,3.0
53,2,4,4,4,6.0,4.0,5.0,4.0
54,3,4,5,3,3.0,5.0,5.0,3.0
55,4,4,4,3,3.0,6.0,6.0,4.0
56,6,6,5,3,3.0,4.0,4.0,4.0
57,6,6,6,6,2.0,4.0,3.0,4.0
58,6,3,3,3,4.0,4.0,3.0,3.0
59,3,0,3,5,4.0,2.0,3.0,4.0
60,3,3,4,6,4.0,4.0,6.0,3.0
61,3,2,4,5,4.0,4.0,5.0,5.0
62,3,3,4,3,3.0,4.0,3.0,5.0
63,3,6,3,5,3.0,4.0,4.0,5.0
64,2,5,6,4,6.0,4.0,3.0,4.0
65,4,6,3,3,4.0,4.0,6.0,4.0
66,4,3,6,5,4.0,5.0,6.0,5.0
67,3,5,3,3,3.0,6.0,4.0,4.0
68,4,4,6,4,3.0,5.0,5.0,5.0
69,6,4,6,5,1.0,6.0,5.0,4.0
70,3,4,6,4,4.0,4.0,3.0,3.0
71,6,4,6,3,3.0,2.0,3.0,4.0
72,4,4,6,4,4.0,3.0,3.0,4.0
73,5,4,3,4,5.0,6.0,2.0,2.0
74,3,4,6,4,4.0,4.0,5.0,2.0
75,3,6,4,6,2.0,3.0,4.0,2.0
76,4,6,2,3,5.0,4.0,3.0,3.0
77,3,4,4,4,4.0,3.0,5.0,4.0
78,3,4,3,4,4.0,5.0,6.0,4.0
79,2,5,3,4,3.0,4.0,2.0,4.0
80,6,3,4,4,2.0,4.0,3.0,3.0
81,3,4,4,4,6.0,3.0,6.0,3.0
82,3,3,4,6,6.0,4.0,3.0,3.0
83,0,4,3,4,5.0,3.0,5.0,4.0
84,2,5,5,4,5.0,4.0,4.0,5.0
85,4,3,3,3,6.0,2.0,0.0,6.0
86,4,3,4,6,3.0,3.0,5.0,5.0
87,3,3,3,4,3.0,4.0,5.0,5.0
88,4,4,3,3,6.0,5.0,3.0,4.0
89,4,3,6,6,4.0,5.0,3.0,4.0
90,6,6,0,3,4.0,5.0,2.0,6.0
91,4,4,3,6,3.0,4.0,5.0,3.0
92,4,4,3,4,3.0,4.0,0.0,3.0
93,5,3,4,3,5.0,5.0,3.0,0.0
94,5,4,4,4,3.0,5.0,6.0,6.0
95,4,0,0,4,4.0,5.0,0.0,3.0
96,3,1,3,4,5.0,4.0,6.0,3.0
97,4,4,3,5,3.0,3.0,0.0,6.0
