,2010,2011,2012,2013,2014,2015,2016,2017
0,6,6,4,3,3.0,3.0,2.0,6.0
1,6,2,5,3,6.0,6.0,3.0,3.0
2,6,3,5,2,6.0,6.0,4.0,6.0
3,6,6,6,4,5.0,3.0,6.0,3.0
4,5,6,6,6,5.0,3.0,5.0,4.0
5,6,4,6,6,4.0,3.0,6.0,6.0
6,3,4,0,6,5.0,3.0,4.0,4.0
7,5,6,6,4,4.0,6.0,5.0,6.0
8,5,5,6,6,6.0,4.0,6.0,5.0
9,6,5,6,5,3.0,4.0,6.0,6.0
10,4,5,6,3,3.0,4.0,4.0,0.0
11,4,4,4,6,5.0,5.0,5.0,3.0
12,6,6,4,6,6.0,0.0,6.0,3.0
13,6,4,6,3,4.0,2.0,3.0,5.0
14,6,6,6,6,3.0,3.0,6.0,6.0
15,6,6,5,6,6.0,3.0,5.0,5.0
16,6,6,4,6,3.0,0.0,3.0,6.0
17,3,4,6,4,6.0,4.0,5.0,3.0
18,6,4,5,5,4.0,5.0,6.0,6.0
19,5,0,6,6,4.0,6.0,2.0,6.0
20,6,3,6,6,4.0,5.0,3.0,6.0
21,2,0,6,4,6.0,4.0,4.0,4.0
22,6,6,6,6,6.0,6.0,4.0,6.0
23,6,6,6,6,6.0,6.0,5.0,3.0
24,6,6,6,4,6.0,5.0,3.0,3.0
25,6,6,4,3,6.0,4.0,3.0,4.0
26,2,6,6,3,5.0,5.0,5.0,4.0
27,4,4,4,5,4.0,5.0,5.0,4.0
28,6,0,6,6,4.0,4.0,6.0,2.0
29,3,4,6,5,6.0,6.0,4.0,3.0
30,3,0,3,6,6.0,5.0,0.0,5.0
31,4,4,5,6,5.0,2.0,6.0,1.0
32,4,6,3,4,6.0,4.0,6.0,5.0
33,6,3,3,6,6.0,4.0,6.0,5.0
34,4,5,6,4,6.0,6.0,4.0,3.0
35,6,5,6,3,6.0,6.0,6.0,4.0
36,3,6,3,4,3.0,2.0,5.0,6.0
37,6,6,5,6,3.0,6.0,6.0,4.0
