,2010,2011,2012,2013,2014,2015,2016,2017
0,3,4,4,3,2.0,4.0,6.0,6.0
1,4,5,5,4,5.0,6.0,3.0,3.0
2,6,2,5,2,2.0,6.0,4.0,6.0
3,2,5,6,5,5.0,4.0,6.0,4.0
4,5,4,6,5,5.0,3.0,6.0,4.0
5,6,3,6,2,5.0,3.0,3.0,4.0
6,4,0,6,5,4.0,3.0,5.0,3.0
7,5,5,4,5,4.0,3.0,6.0,6.0
8,5,6,6,5,6.0,3.0,5.0,6.0
9,4,6,0,3,3.0,4.0,6.0,6.0
10,2,5,4,4,3.0,3.0,5.0,0.0
11,6,2,6,4,5.0,5.0,5.0,3.0
12,6,4,6,4,4.0,0.0,3.0,6.0
13,6,2,4,3,4.0,5.0,4.0,6.0
14,2,4,6,3,6.0,3.0,6.0,0.0
15,5,2,6,4,3.0,4.0,5.0,0.0
16,1,6,5,6,6.0,0.0,3.0,6.0
17,3,6,3,4,4.0,4.0,5.0,6.0
18,3,4,0,5,4.0,5.0,5.0,6.0
19,5,6,6,6,3.0,4.0,4.0,4.0
20,6,4,6,6,6.0,5.0,6.0,4.0
21,3,6,6,6,4.0,0.0,6.0,4.0
22,6,3,6,4,4.0,4.0,3.0,4.0
23,5,6,4,6,6.0,4.0,5.0,3.0
24,6,5,6,4,6.0,5.0,5.0,6.0
25,2,6,4,3,4.0,6.0,5.0,6.0
26,3,3,6,3,6.0,3.0,5.0,6.0
27,5,4,6,5,5.0,5.0,4.0,4.0
28,4,0,6,3,5.0,3.0,6.0,5.0
29,4,4,6,4,2.0,4.0,6.0,6.0
30,6,4,3,4,4.0,4.0,6.0,0.0
31,4,4,4,4,5.0,5.0,6.0,1.0
32,4,2,3,5,6.0,5.0,3.0,6.0
33,3,4,6,5,0.0,3.0,2.0,5.0
34,3,6,4,3,5.0,6.0,5.0,3.0
35,5,5,4,4,6.0,5.0,0.0,6.0
36,6,6,6,4,3.0,5.0,5.0,6.0
37,5,6,6,3,5.0,5.0,6.0,5.0
38,2,6,4,3,5.0,4.0,5.0,6.0
39,6,6,6,0,5.0,5.0,2.0,6.0
40,0,4,6,4,3.0,6.0,4.0,3.0
41,0,0,6,5,3.0,4.0,3.0,6.0
42,1,6,6,6,4.0,5.0,2.0,5.0
43,6,4,5,5,3.0,5.0,4.0,1.0
44,6,3,6,6,4.0,3.0,5.0,5.0
45,6,0,4,6,3.0,5.0,6.0,5.0
46,4,5,6,6,6.0,4.0,4.0,6.0
47,4,3,6,6,4.0,5.0,6.0,3.0
48,6,5,4,5,4.0,5.0,4.0,0.0
49,3,3,6,6,3.0,3.0,1.0,4.0
50,4,5,4,6,5.0,2.0,6.0,4.0
51,3,4,4,6,6.0,6.0,4.0,6.0
52,6,4,4,6,6.0,5.0,6.0,5.0
53,6,4,6,6,5.0,4.0,0.0,4.0
54,6,3,5,6,6.0,4.0,6.0,6.0
55,6,6,0,4,3.0,5.0,4.0,2.0
56,6,6,5,4,3.0,3.0,4.0,4.0
57,6,6,5,6,5.0,5.0,3.0,4.0
58,6,6,6,3,6.0,3.0,4.0,4.0
59,6,0,4,6,4.0,4.0,4.0,4.0
60,4,6,6,6,4.0,6.0,0.0,6.0
61,3,6,6,6,5.0,6.0,4.0,5.0
62,6,3,6,6,3.0,0.0,0.0,4.0
63,3,6,6,4,4.0,4.0,6.0,4.0
64,6,5,6,6,5.0,3.0,5.0,4.0
65,2,6,4,3,4.0,6.0,4.0,2.0
66,6,6,6,4,4.0,6.0,6.0,3.0
