,2010,2011,2012,2013,2014,2015,2016,2017
0,4,5,5,3,3.0,3.0,6.0,3.0
1,6,3,5,3,5.0,4.0,3.0,3.0
2,5,6,5,4,4.0,5.0,4.0,4.0
3,3,6,6,4,5.0,5.0,6.0,5.0
4,5,4,5,5,5.0,3.0,5.0,4.0
5,5,4,5,3,5.0,4.0,6.0,4.0
6,4,5,0,5,5.0,3.0,4.0,4.0
7,5,6,6,5,5.0,2.0,5.0,4.0
8,4,5,4,5,5.0,5.0,5.0,5.0
9,4,5,4,5,3.0,4.0,4.0,5.0
10,3,5,4,3,3.0,4.0,4.0,4.0
11,5,4,4,4,5.0,5.0,5.0,1.0
12,4,4,4,3,4.0,4.0,4.0,4.0
13,6,3,5,3,4.0,4.0,4.0,5.0
14,5,4,5,5,5.0,3.0,5.0,5.0
15,4,4,2,3,3.0,4.0,5.0,5.0
16,6,5,3,3,3.0,0.0,3.0,4.0
17,4,2,3,4,4.0,4.0,5.0,5.0
18,3,5,5,5,5.0,5.0,5.0,5.0
19,5,5,4,4,3.0,4.0,3.0,4.0
20,3,5,5,4,5.0,0.0,4.0,5.0
21,3,5,4,5,6.0,4.0,4.0,3.0
22,5,4,5,3,4.0,4.0,4.0,5.0
23,4,4,4,4,6.0,4.0,5.0,3.0
24,5,5,4,4,5.0,5.0,3.0,3.0
25,4,4,4,3,4.0,4.0,5.0,4.0
26,3,5,4,3,5.0,5.0,5.0,4.0
27,5,4,5,5,4.0,5.0,5.0,4.0
28,4,0,4,3,4.0,4.0,6.0,3.0
29,4,3,6,5,3.0,4.0,4.0,0.0
30,4,4,3,4,4.0,4.0,4.0,5.0
31,4,5,4,5,5.0,5.0,6.0,1.0
32,5,6,3,3,4.0,4.0,6.0,5.0
33,4,3,3,3,4.0,4.0,5.0,5.0
34,5,5,4,4,6.0,4.0,4.0,3.0
35,4,5,4,4,4.0,4.0,4.0,4.0
36,3,5,5,4,3.0,5.0,5.0,6.0
37,5,3,5,4,4.0,3.0,6.0,4.0
38,4,5,4,2,5.0,5.0,4.0,2.0
39,4,6,5,0,5.0,5.0,3.0,4.0
40,5,4,3,2,4.0,5.0,3.0,4.0
41,0,4,3,5,4.0,4.0,5.0,4.0
42,2,4,5,4,2.0,5.0,4.0,4.0
43,6,4,4,5,6.0,5.0,3.0,4.0
44,5,4,4,5,4.0,4.0,5.0,5.0
45,5,4,4,5,3.0,4.0,3.0,5.0
46,4,5,2,2,5.0,4.0,4.0,4.0
47,4,3,4,4,5.0,5.0,3.0,3.0
48,6,5,5,4,4.0,5.0,4.0,0.0
49,3,3,6,4,4.0,4.0,1.0,4.0
50,4,5,4,5,4.0,3.0,5.0,4.0
51,4,3,4,6,0.0,4.0,4.0,6.0
52,3,4,4,4,4.0,5.0,5.0,4.0
53,3,4,5,5,5.0,4.0,5.0,4.0
54,4,4,5,4,0.0,5.0,5.0,3.0
55,6,3,4,3,4.0,5.0,4.0,4.0
56,5,5,5,4,4.0,5.0,4.0,4.0
57,5,5,5,5,5.0,4.0,3.0,5.0
58,5,4,5,4,5.0,4.0,3.0,5.0
59,6,0,2,5,4.0,3.0,4.0,4.0
60,4,4,4,6,4.0,4.0,4.0,4.0
61,3,1,5,5,5.0,4.0,3.0,5.0
62,4,3,5,5,3.0,4.0,4.0,4.0
63,3,4,5,5,3.0,3.0,3.0,5.0
64,3,5,5,4,5.0,6.0,4.0,4.0
65,4,5,3,2,4.0,3.0,3.0,4.0
66,4,5,5,3,4.0,6.0,6.0,5.0
67,3,4,4,0,4.0,4.0,4.0,4.0
68,4,2,3,6,3.0,5.0,5.0,5.0
69,3,4,4,4,3.0,3.0,5.0,3.0
70,6,3,5,4,3.0,4.0,3.0,3.0
71,1,3,5,4,4.0,4.0,5.0,5.0
72,3,4,5,4,4.0,5.0,5.0,3.0
73,5,5,5,5,5.0,4.0,4.0,5.0
74,4,3,4,4,5.0,5.0,5.0,3.0
75,2,5,4,4,4.0,3.0,4.0,3.0
76,4,4,4,4,5.0,4.0,4.0,4.0
77,4,5,4,5,4.0,3.0,4.0,4.0
78,4,5,3,4,4.0,5.0,4.0,4.0
79,3,3,4,4,3.0,4.0,3.0,3.0
80,4,4,4,5,4.0,4.0,3.0,6.0
81,4,5,4,4,5.0,4.0,1.0,4.0
82,3,4,4,5,0.0,3.0,4.0,4.0
83,0,4,4,4,5.0,3.0,5.0,5.0
84,3,4,5,5,5.0,5.0,3.0,5.0
85,5,3,4,5,6.0,1.0,4.0,5.0
86,3,3,4,4,3.0,4.0,5.0,5.0
87,4,4,2,4,5.0,4.0,5.0,5.0
88,4,4,5,3,6.0,3.0,4.0,4.0
89,3,4,4,4,5.0,5.0,4.0,4.0
90,4,4,0,5,4.0,5.0,3.0,5.0
91,5,5,2,4,6.0,5.0,5.0,4.0
92,6,3,5,4,4.0,3.0,0.0,5.0
93,5,4,4,4,5.0,6.0,5.0,0.0
94,5,4,5,5,4.0,5.0,4.0,5.0
95,2,0,3,5,4.0,5.0,0.0,3.0
96,3,1,4,5,5.0,6.0,3.0,3.0
97,4,6,3,5,5.0,4.0,0.0,4.0
98,3,4,5,5,4.0,4.0,4.0,4.0
99,4,5,4,5,4.0,5.0,3.0,5.0
100,4,2,5,0,4.0,5.0,3.0,6.0
101,5,4,5,5,4.0,4.0,0.0,5.0
102,6,5,4,5,4.0,4.0,4.0,5.0
103,4,4,3,5,2.0,4.0,5.0,4.0
104,4,3,3,5,2.0,3.0,5.0,4.0
105,5,4,4,4,4.0,3.0,4.0,4.0
106,4,4,4,4,3.0,4.0,4.0,4.0
107,3,4,5,5,3.0,5.0,4.0,4.0
108,3,3,5,4,4.0,4.0,0.0,6.0
109,3,4,3,5,5.0,5.0,2.0,5.0
110,4,5,3,5,5.0,4.0,4.0,5.0
111,4,4,4,5,3.0,4.0,1.0,5.0
112,5,4,4,5,5.0,6.0,4.0,5.0
113,4,5,5,4,4.0,5.0,6.0,4.0
114,5,3,4,5,3.0,4.0,4.0,5.0
115,3,6,4,5,3.0,4.0,3.0,6.0
116,5,4,3,5,4.0,4.0,4.0,5.0
117,5,3,5,3,4.0,5.0,5.0,5.0
118,1,5,3,4,5.0,3.0,5.0,4.0
119,5,5,4,4,4.0,5.0,0.0,4.0
120,4,5,3,4,5.0,5.0,5.0,4.0
121,4,5,4,3,3.0,5.0,4.0,4.0
122,5,5,2,4,3.0,4.0,3.0,5.0
123,5,5,4,5,4.0,4.0,4.0,4.0
124,5,4,6,4,5.0,4.0,4.0,0.0
125,4,6,4,4,2.0,3.0,3.0,5.0
126,4,6,4,5,2.0,4.0,3.0,5.0
127,3,0,4,5,3.0,5.0,5.0,2.0
128,0,5,4,3,3.0,4.0,3.0,6.0
129,3,4,4,4,5.0,5.0,4.0,3.0
130,4,4,4,6,5.0,3.0,5.0,4.0
131,3,5,4,5,4.0,4.0,5.0,5.0
132,5,5,5,4,3.0,3.0,4.0,4.0
133,3,5,4,6,5.0,5.0,4.0,5.0
134,4,4,4,0,3.0,4.0,0.0,5.0
135,3,4,3,5,3.0,3.0,5.0,5.0
136,5,5,3,3,5.0,5.0,4.0,4.0
137,4,0,3,3,6.0,4.0,5.0,5.0
138,5,3,4,4,5.0,4.0,5.0,5.0
139,5,3,3,3,5.0,4.0,3.0,5.0
140,5,5,5,3,5.0,4.0,5.0,5.0
141,5,4,4,3,5.0,5.0,4.0,3.0
142,4,5,4,4,5.0,4.0,4.0,3.0
143,5,4,4,4,4.0,5.0,5.0,4.0
144,3,4,5,2,3.0,4.0,5.0,5.0
145,4,5,4,5,4.0,5.0,3.0,5.0
146,5,5,3,6,4.0,3.0,4.0,4.0
147,5,4,4,3,5.0,5.0,4.0,5.0
148,6,5,4,3,5.0,4.0,5.0,4.0
149,3,5,0,6,6.0,5.0,3.0,4.0
150,4,3,4,5,5.0,4.0,3.0,5.0
151,5,4,4,5,3.0,4.0,3.0,6.0
152,5,3,4,3,3.0,4.0,5.0,6.0
153,5,4,0,4,3.0,4.0,4.0,4.0
154,5,4,5,3,4.0,3.0,5.0,5.0
155,5,5,3,2,3.0,4.0,5.0,4.0
156,3,5,3,4,3.0,4.0,2.0,5.0
157,5,4,6,3,3.0,4.0,4.0,5.0
158,5,5,3,3,3.0,4.0,5.0,5.0
159,6,3,3,4,4.0,4.0,5.0,5.0
160,5,5,3,2,3.0,4.0,4.0,4.0
161,5,4,5,3,4.0,5.0,3.0,5.0
162,4,5,3,6,4.0,4.0,4.0,5.0
163,4,4,4,4,5.0,5.0,4.0,4.0
164,0,3,5,5,4.0,4.0,5.0,2.0
165,4,3,3,5,4.0,3.0,4.0,5.0
166,4,3,3,5,4.0,3.0,4.0,4.0
167,4,4,5,4,5.0,5.0,5.0,5.0
168,5,5,4,5,4.0,4.0,5.0,5.0
169,4,5,3,3,4.0,5.0,5.0,6.0
170,4,4,4,4,5.0,6.0,3.0,5.0
171,5,2,3,4,5.0,4.0,4.0,5.0
172,5,4,3,4,5.0,3.0,4.0,5.0
173,5,4,4,3,4.0,4.0,5.0,3.0
