,2013,2014,2015,2016,2017
0,3,3.0,6.0,5.0,4.0
1,6,3.0,6.0,3.0,3.0
2,3,4.0,3.0,4.0,5.0
3,4,5.0,4.0,6.0,3.0
4,5,5.0,3.0,5.0,2.0
5,1,5.0,4.0,6.0,3.0
6,6,5.0,4.0,1.0,4.0
7,5,5.0,6.0,5.0,6.0
8,5,6.0,5.0,5.0,5.0
9,5,5.0,6.0,4.0,4.0
10,6,2.0,4.0,0.0,0.0
11,6,5.0,5.0,5.0,4.0
12,4,6.0,0.0,2.0,5.0
13,3,5.0,5.0,5.0,5.0
14,6,4.0,5.0,5.0,5.0
15,6,2.0,1.0,5.0,5.0
16,1,3.0,0.0,3.0,6.0
17,3,5.0,4.0,3.0,5.0
18,5,4.0,4.0,4.0,6.0
19,3,4.0,6.0,2.0,6.0
20,4,6.0,0.0,3.0,4.0
21,5,3.0,4.0,3.0,4.0
22,3,6.0,6.0,4.0,4.0
23,6,6.0,4.0,5.0,3.0
24,6,6.0,6.0,3.0,6.0
25,5,4.0,4.0,3.0,4.0
26,3,6.0,5.0,5.0,4.0
27,5,0.0,5.0,5.0,5.0
28,4,4.0,3.0,6.0,5.0
29,5,6.0,4.0,4.0,5.0
30,5,6.0,5.0,4.0,5.0
31,6,5.0,5.0,6.0,1.0
32,5,6.0,6.0,6.0,5.0
33,6,1.0,6.0,3.0,5.0
34,2,5.0,1.0,5.0,4.0
35,3,6.0,6.0,3.0,5.0
36,3,3.0,2.0,5.0,5.0
37,6,4.0,4.0,5.0,3.0
38,3,6.0,4.0,5.0,5.0
39,0,6.0,6.0,4.0,4.0
40,5,5.0,6.0,3.0,5.0
41,6,4.0,5.0,5.0,6.0
42,4,4.0,5.0,4.0,2.0
43,6,6.0,5.0,4.0,6.0
44,4,6.0,4.0,5.0,5.0
45,6,4.0,4.0,5.0,5.0
46,6,6.0,6.0,5.0,6.0
47,6,6.0,5.0,1.0,3.0
48,4,4.0,5.0,6.0,0.0
49,5,6.0,3.0,1.0,5.0
50,5,6.0,3.0,6.0,4.0
51,6,5.0,6.0,6.0,4.0
52,6,5.0,5.0,5.0,4.0
53,6,5.0,4.0,6.0,4.0
54,5,6.0,5.0,6.0,6.0
55,3,6.0,5.0,5.0,6.0
56,4,6.0,6.0,0.0,4.0
57,5,6.0,6.0,5.0,4.0
58,1,6.0,4.0,6.0,5.0
59,5,4.0,0.0,3.0,4.0
60,6,5.0,4.0,6.0,5.0
61,5,4.0,4.0,3.0,5.0
62,6,3.0,3.0,3.0,6.0
63,5,3.0,6.0,6.0,3.0
64,6,4.0,6.0,5.0,4.0
65,2,4.0,6.0,5.0,3.0
66,4,4.0,6.0,6.0,5.0
67,3,3.0,3.0,6.0,5.0
68,6,3.0,5.0,6.0,5.0
69,1,6.0,0.0,5.0,4.0
70,4,6.0,4.0,3.0,4.0
71,6,5.0,0.0,4.0,1.0
72,4,4.0,4.0,5.0,4.0
73,3,6.0,6.0,1.0,4.0
74,6,6.0,6.0,5.0,3.0
75,3,5.0,4.0,6.0,3.0
76,6,5.0,3.0,4.0,3.0
77,4,4.0,3.0,4.0,6.0
78,4,5.0,5.0,6.0,5.0
79,4,4.0,3.0,0.0,5.0
80,3,6.0,5.0,4.0,6.0
81,6,1.0,5.0,6.0,6.0
82,6,6.0,5.0,2.0,6.0
83,4,5.0,6.0,4.0,5.0
84,4,2.0,6.0,4.0,5.0
85,4,5.0,1.0,0.0,5.0
86,4,6.0,5.0,5.0,6.0
87,3,6.0,5.0,5.0,5.0
88,4,5.0,2.0,6.0,6.0
89,6,6.0,6.0,2.0,6.0
90,4,4.0,1.0,5.0,5.0
91,6,1.0,5.0,5.0,2.0
92,4,3.0,6.0,0.0,3.0
93,3,5.0,4.0,6.0,0.0
94,5,3.0,6.0,6.0,5.0
95,4,4.0,5.0,0.0,1.0
96,5,5.0,6.0,6.0,5.0
97,5,3.0,3.0,0.0,6.0
98,5,6.0,3.0,2.0,4.0
99,4,6.0,4.0,1.0,5.0
100,0,6.0,5.0,6.0,6.0
101,5,5.0,5.0,4.0,6.0
102,4,4.0,6.0,5.0,6.0
103,6,4.0,4.0,4.0,5.0
104,6,4.0,2.0,5.0,5.0
105,4,4.0,6.0,4.0,4.0
106,4,3.0,6.0,2.0,3.0
107,6,3.0,4.0,4.0,5.0
108,6,3.0,4.0,0.0,3.0
109,6,4.0,6.0,3.0,5.0
110,1,5.0,5.0,4.0,5.0
111,3,4.0,3.0,6.0,5.0
112,6,6.0,6.0,4.0,5.0
113,4,5.0,6.0,4.0,3.0
114,5,6.0,0.0,4.0,6.0
115,5,3.0,4.0,0.0,6.0
116,6,4.0,0.0,4.0,2.0
117,6,3.0,3.0,5.0,5.0
118,6,5.0,6.0,3.0,4.0
119,5,3.0,2.0,0.0,4.0
120,4,5.0,5.0,5.0,5.0
121,5,4.0,2.0,4.0,3.0
122,4,3.0,4.0,6.0,3.0
123,6,4.0,2.0,4.0,6.0
124,4,5.0,4.0,4.0,0.0
125,4,6.0,5.0,4.0,5.0
126,6,6.0,2.0,5.0,5.0
127,6,6.0,4.0,5.0,4.0
128,4,3.0,5.0,4.0,5.0
129,4,6.0,4.0,4.0,6.0
130,6,5.0,4.0,5.0,3.0
131,4,4.0,4.0,5.0,3.0
132,6,6.0,3.0,6.0,3.0
133,6,6.0,4.0,4.0,5.0
134,0,6.0,5.0,5.0,4.0
135,4,3.0,3.0,5.0,4.0
136,4,6.0,5.0,4.0,4.0
137,4,3.0,5.0,5.0,5.0
138,3,5.0,6.0,5.0,0.0
139,5,0.0,6.0,4.0,0.0
140,1,2.0,6.0,5.0,6.0
141,6,5.0,4.0,2.0,4.0
142,4,6.0,3.0,5.0,6.0
143,4,5.0,5.0,5.0,4.0
144,6,2.0,6.0,5.0,5.0
145,6,5.0,5.0,3.0,0.0
146,6,4.0,3.0,4.0,3.0
147,6,5.0,5.0,6.0,5.0
148,3,5.0,4.0,3.0,6.0
149,6,6.0,5.0,3.0,6.0
150,1,4.0,5.0,3.0,3.0
151,3,3.0,5.0,3.0,6.0
152,4,4.0,4.0,4.0,6.0
153,6,2.0,2.0,2.0,5.0
154,2,3.0,6.0,5.0,4.0
155,1,3.0,5.0,5.0,5.0
156,0,4.0,4.0,2.0,4.0
157,5,5.0,5.0,5.0,5.0
158,1,3.0,4.0,5.0,6.0
159,6,6.0,3.0,5.0,4.0
160,3,4.0,6.0,3.0,5.0
161,1,5.0,4.0,5.0,5.0
162,6,4.0,6.0,3.0,5.0
163,1,4.0,5.0,5.0,4.0
164,6,4.0,6.0,5.0,6.0
165,4,4.0,6.0,5.0,5.0
166,6,4.0,6.0,4.0,5.0
167,4,6.0,1.0,5.0,5.0
168,5,3.0,4.0,5.0,5.0
169,5,2.0,2.0,6.0,2.0
170,4,4.0,6.0,3.0,5.0
171,4,5.0,6.0,3.0,5.0
172,4,3.0,3.0,4.0,0.0
173,2,3.0,5.0,5.0,4.0
174,4,5.0,1.0,5.0,3.0
175,1,5.0,4.0,5.0,4.0
176,5,6.0,6.0,5.0,5.0
177,5,3.0,0.0,2.0,3.0
178,5,6.0,6.0,4.0,3.0
179,1,6.0,5.0,5.0,5.0
180,4,4.0,5.0,5.0,6.0
181,6,6.0,3.0,4.0,5.0
182,3,6.0,1.0,4.0,6.0
183,4,3.0,5.0,6.0,5.0
184,3,5.0,6.0,3.0,3.0
185,5,5.0,6.0,5.0,3.0
186,5,5.0,0.0,0.0,5.0
187,0,4.0,6.0,4.0,6.0
188,6,4.0,3.0,6.0,5.0
189,6,5.0,6.0,1.0,4.0
190,5,5.0,6.0,4.0,5.0
191,4,6.0,2.0,5.0,6.0
192,5,5.0,2.0,6.0,6.0
193,5,6.0,4.0,3.0,5.0
194,5,5.0,3.0,5.0,5.0
195,5,4.0,4.0,3.0,6.0
196,4,3.0,6.0,5.0,5.0
197,4,0.0,6.0,5.0,5.0
198,5,4.0,0.0,3.0,5.0
199,6,6.0,6.0,2.0,5.0
200,3,5.0,4.0,6.0,5.0
201,5,5.0,2.0,5.0,6.0
202,5,2.0,6.0,4.0,6.0
203,5,4.0,6.0,5.0,5.0
204,2,4.0,4.0,5.0,5.0
205,1,6.0,4.0,2.0,6.0
206,3,3.0,4.0,5.0,6.0
207,1,4.0,6.0,4.0,6.0
208,4,1.0,5.0,1.0,5.0
209,0,6.0,5.0,5.0,5.0
210,4,6.0,6.0,5.0,4.0
211,6,3.0,2.0,5.0,5.0
212,6,6.0,4.0,3.0,6.0
213,6,0.0,5.0,5.0,4.0
214,6,6.0,3.0,5.0,3.0
215,4,5.0,5.0,3.0,4.0
216,5,4.0,6.0,5.0,4.0
