,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,5,5,5,4,3,3,3,3,6,4,5,3,6,6,4
1,6,4,6,4,5,4,6,6,6,6,6,6,6,6,4
2,4,4,4,5,5,5,5,6,3,6,6,6,6,6,5
3,6,6,6,5,5,5,3,3,4,4,6,6,6,6,4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,3,3,3,4,4,3,3,4,3,4,4,6,3,4
6,3,3,3,2,4,3,3,3,4,3,4,4,4,4,4
7,3,2,3,3,3,2,6,6,6,3,4,6,4,6,2
8,5,4,4,3,5,5,4,4,5,3,4,6,4,4,4
9,4,4,4,4,4,4,4,4,6,4,4,6,6,6,4
10,0,2,2,2,3,4,4,4,4,3,3,3,3,3,3
11,4,5,5,5,5,5,5,5,5,5,6,6,4,3,5
12,0,0,0,0,5,4,0,0,0,0,0,4,0,0,4
13,3,2,2,3,5,4,2,2,5,5,6,6,6,6,4
14,4,4,3,4,3,3,3,3,5,3,6,4,6,3,4
15,5,4,3,3,3,4,3,3,1,4,4,6,3,6,3
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5
18,5,5,5,5,5,5,4,5,4,5,6,5,6,6,5
19,4,4,4,4,3,4,6,6,6,4,4,4,6,6,4
20,5,0,0,0,0,0,5,5,0,5,0,0,0,0,5
21,4,4,4,4,4,4,4,4,4,0,5,6,6,6,4
22,4,2,6,4,4,4,6,6,6,4,6,6,6,6,3
23,4,3,3,4,4,4,6,6,4,4,6,6,6,6,4
24,5,4,4,5,5,5,4,5,6,5,5,6,6,6,5
25,5,4,4,4,4,4,4,4,4,6,6,5,6,6,4
26,4,5,4,4,4,5,5,5,5,3,4,5,5,6,4
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,4,3,3,4,3,4,3,4,3,3,4,0,3,2,3
29,4,6,4,3,4,4,6,6,4,4,6,4,6,6,4
30,1,1,2,4,5,4,5,5,5,4,4,4,4,4,4
31,5,3,3,4,5,5,2,2,5,5,3,5,5,5,4
32,5,4,4,4,4,4,4,4,6,5,6,6,6,6,5
33,3,2,2,4,4,4,4,4,6,3,3,3,4,6,4
