,2010,2011,2012,2013,2014,2015,2016,2017
0,3,4,3,3,5.0,5.0,4.0,6.0
1,3,6,0,4,2.0,6.0,3.0,3.0
2,3,3,6,4,3.0,4.0,4.0,4.0
3,6,4,6,3,5.0,6.0,6.0,5.0
4,5,3,2,2,5.0,3.0,5.0,3.0
5,6,4,4,2,4.0,3.0,6.0,3.0
6,2,4,4,6,4.0,3.0,4.0,3.0
7,5,5,4,5,4.0,3.0,5.0,6.0
8,5,5,3,4,4.0,4.0,4.0,4.0
9,4,3,6,3,3.0,4.0,5.0,4.0
10,3,5,4,3,3.0,2.0,3.0,0.0
11,4,3,4,4,4.0,5.0,4.0,3.0
12,5,3,6,3,4.0,0.0,4.0,3.0
13,6,3,4,4,4.0,2.0,0.0,4.0
14,4,3,6,6,5.0,3.0,4.0,5.0
15,3,4,6,3,3.0,3.0,3.0,4.0
16,6,6,4,2,3.0,0.0,2.0,5.0
17,3,3,2,4,4.0,4.0,5.0,3.0
18,3,3,5,5,4.0,5.0,4.0,4.0
19,3,6,3,4,3.0,4.0,5.0,5.0
20,3,5,6,6,6.0,0.0,3.0,3.0
21,3,3,2,3,6.0,4.0,4.0,4.0
22,1,6,3,5,6.0,6.0,4.0,5.0
23,3,6,3,6,6.0,3.0,5.0,2.0
24,5,6,6,5,2.0,4.0,4.0,3.0
25,4,3,5,2,3.0,4.0,1.0,4.0
26,4,4,3,2,6.0,4.0,1.0,4.0
27,3,4,4,0,0.0,5.0,5.0,4.0
28,4,4,4,3,3.0,3.0,6.0,3.0
29,1,4,6,5,3.0,4.0,3.0,3.0
30,3,3,3,3,3.0,2.0,4.0,5.0
31,2,5,4,4,5.0,3.0,6.0,1.0
32,4,6,3,4,6.0,4.0,4.0,4.0
33,6,3,3,3,6.0,2.0,6.0,4.0
34,5,6,6,3,6.0,3.0,4.0,2.0
35,5,4,6,3,4.0,4.0,3.0,3.0
36,3,6,3,3,4.0,2.0,5.0,3.0
37,4,4,6,3,3.0,4.0,6.0,3.0
38,6,4,4,2,5.0,5.0,4.0,6.0
39,3,6,4,0,4.0,6.0,4.0,6.0
40,0,4,3,4,3.0,5.0,3.0,3.0
41,0,3,6,6,6.0,4.0,5.0,4.0
42,4,4,5,3,4.0,5.0,3.0,3.0
43,6,3,6,4,6.0,5.0,4.0,3.0
44,6,3,6,3,6.0,4.0,5.0,5.0
45,6,6,6,6,3.0,4.0,3.0,5.0
46,4,5,3,4,6.0,3.0,6.0,6.0
47,3,3,6,4,3.0,4.0,6.0,3.0
48,6,5,6,3,4.0,5.0,3.0,3.0
49,3,3,6,3,4.0,3.0,0.0,3.0
50,3,3,4,4,6.0,3.0,0.0,3.0
51,4,3,2,2,5.0,3.0,3.0,6.0
52,3,3,3,3,6.0,4.0,0.0,3.0
53,2,4,6,4,6.0,5.0,5.0,4.0
54,3,3,6,4,2.0,4.0,4.0,3.0
55,6,5,4,3,3.0,5.0,3.0,4.0
56,5,6,5,3,2.0,4.0,4.0,4.0
57,4,6,6,6,6.0,4.0,2.0,4.0
58,2,3,3,3,0.0,6.0,3.0,4.0
59,1,0,3,5,4.0,3.0,3.0,3.0
60,3,3,4,6,4.0,4.0,4.0,6.0
61,3,2,4,5,6.0,4.0,4.0,5.0
62,3,4,4,6,3.0,4.0,3.0,6.0
63,3,6,5,5,4.0,4.0,4.0,5.0
64,6,5,6,4,4.0,3.0,4.0,5.0
65,4,6,3,3,4.0,6.0,3.0,4.0
66,4,4,6,5,4.0,6.0,0.0,5.0
67,3,1,6,3,3.0,2.0,4.0,4.0
68,3,4,6,6,3.0,5.0,5.0,5.0
69,3,4,5,3,2.0,4.0,5.0,4.0
70,6,3,5,4,4.0,4.0,3.0,2.0
71,6,3,6,3,4.0,6.0,5.0,4.0
72,5,4,6,3,4.0,4.0,3.0,2.0
73,5,4,3,4,5.0,3.0,2.0,2.0
74,6,3,4,4,6.0,3.0,5.0,3.0
75,3,6,3,4,2.0,4.0,4.0,2.0
76,4,4,3,4,4.0,4.0,3.0,3.0
77,3,3,4,4,4.0,3.0,5.0,6.0
78,6,4,3,4,4.0,5.0,6.0,4.0
79,1,5,0,4,3.0,6.0,4.0,4.0
80,3,0,4,4,2.0,3.0,3.0,6.0
81,3,4,4,4,6.0,4.0,6.0,3.0
82,3,2,3,4,6.0,3.0,2.0,4.0
83,0,4,3,4,5.0,2.0,4.0,4.0
84,3,4,5,4,4.0,6.0,3.0,5.0
85,4,4,2,4,6.0,3.0,0.0,5.0
86,6,3,4,6,3.0,3.0,5.0,5.0
87,3,3,2,4,4.0,4.0,5.0,5.0
88,4,4,4,3,6.0,5.0,3.0,4.0
89,4,3,4,6,6.0,4.0,4.0,4.0
90,4,6,0,4,4.0,3.0,3.0,6.0
91,4,4,4,6,4.0,4.0,5.0,3.0
92,2,5,4,4,3.0,4.0,0.0,6.0
93,4,3,4,3,5.0,5.0,4.0,0.0
94,5,4,6,5,3.0,5.0,6.0,4.0
95,6,0,0,4,4.0,4.0,0.0,3.0
96,3,1,3,3,5.0,4.0,3.0,4.0
97,4,4,3,5,3.0,3.0,0.0,6.0
98,3,6,4,5,3.0,5.0,4.0,4.0
99,4,5,4,5,3.0,4.0,3.0,4.0
100,6,4,5,0,3.0,6.0,6.0,6.0
101,6,6,4,5,5.0,4.0,4.0,4.0
102,6,4,4,5,4.0,4.0,4.0,4.0
103,3,4,3,5,3.0,5.0,4.0,3.0
104,6,4,2,6,4.0,3.0,6.0,6.0
105,3,4,4,4,2.0,3.0,3.0,3.0
106,3,4,4,4,3.0,4.0,3.0,3.0
107,0,4,5,4,3.0,4.0,3.0,3.0
108,6,3,4,3,3.0,3.0,0.0,3.0
109,3,6,2,3,4.0,3.0,4.0,4.0
110,3,3,2,4,4.0,4.0,4.0,6.0
111,2,4,4,4,6.0,3.0,6.0,6.0
112,3,2,4,6,5.0,6.0,4.0,5.0
113,3,5,6,4,3.0,5.0,6.0,3.0
114,3,4,4,5,3.0,4.0,4.0,4.0
115,3,6,2,5,3.0,3.0,4.0,6.0
116,3,5,3,6,4.0,3.0,4.0,3.0
117,5,0,3,6,4.0,6.0,5.0,5.0
118,4,5,6,6,5.0,3.0,6.0,4.0
119,6,5,4,6,3.0,6.0,0.0,4.0
120,6,5,4,3,4.0,5.0,1.0,4.0
121,4,4,6,6,4.0,4.0,2.0,3.0
122,3,0,2,4,4.0,5.0,3.0,3.0
123,6,4,3,6,4.0,4.0,3.0,4.0
124,3,6,6,3,6.0,3.0,3.0,0.0
125,3,6,4,4,3.0,3.0,6.0,4.0
126,4,4,6,4,2.0,2.0,4.0,4.0
127,3,5,4,5,3.0,4.0,4.0,3.0
128,0,3,4,3,3.0,4.0,3.0,5.0
129,3,4,3,4,4.0,4.0,3.0,3.0
130,3,4,4,6,5.0,3.0,5.0,3.0
131,0,5,6,0,3.0,3.0,4.0,4.0
132,5,3,5,4,3.0,3.0,6.0,1.0
133,2,3,4,6,3.0,4.0,4.0,5.0
134,2,4,4,0,4.0,4.0,5.0,2.0
135,2,4,4,4,3.0,5.0,5.0,4.0
136,6,5,3,3,5.0,5.0,4.0,4.0
137,4,3,6,4,3.0,4.0,5.0,6.0
138,6,4,6,4,6.0,4.0,3.0,4.0
139,3,3,2,0,6.0,3.0,3.0,4.0
140,4,4,6,3,4.0,3.0,5.0,4.0
141,6,3,4,6,4.0,6.0,4.0,3.0
142,4,5,4,3,4.0,3.0,4.0,4.0
143,4,3,6,4,6.0,6.0,4.0,3.0
144,3,3,4,6,2.0,3.0,5.0,6.0
145,4,5,3,0,2.0,6.0,3.0,0.0
146,0,6,2,6,4.0,3.0,5.0,4.0
147,2,3,0,6,4.0,5.0,4.0,5.0
148,6,2,4,3,5.0,4.0,5.0,6.0
149,4,4,4,6,4.0,4.0,3.0,3.0
150,5,3,4,4,4.0,5.0,3.0,4.0
151,4,2,3,3,3.0,4.0,4.0,6.0
152,4,4,2,3,4.0,3.0,3.0,6.0
153,5,4,0,3,3.0,4.0,3.0,4.0
154,4,2,5,4,1.0,6.0,5.0,3.0
155,4,3,3,3,2.0,3.0,5.0,4.0
156,2,5,4,3,1.0,3.0,2.0,4.0
157,4,3,4,6,3.0,4.0,4.0,5.0
158,4,3,4,3,3.0,4.0,6.0,6.0
159,3,4,3,0,4.0,4.0,5.0,4.0
160,0,6,3,3,4.0,6.0,2.0,4.0
161,2,4,3,3,6.0,6.0,3.0,5.0
162,5,5,4,5,4.0,6.0,3.0,2.0
163,3,4,4,2,4.0,5.0,4.0,3.0
164,6,6,3,6,4.0,3.0,4.0,3.0
165,6,3,4,4,4.0,3.0,2.0,5.0
166,6,2,3,6,4.0,2.0,4.0,4.0
167,4,5,5,4,5.0,6.0,6.0,6.0
168,6,6,4,5,3.0,4.0,5.0,4.0
169,5,6,4,2,4.0,3.0,4.0,6.0
170,6,4,4,4,4.0,6.0,3.0,5.0
171,4,4,3,4,4.0,4.0,4.0,4.0
172,4,3,3,3,2.0,3.0,1.0,4.0
173,4,3,4,3,6.0,6.0,5.0,1.0
174,4,5,3,4,4.0,4.0,3.0,1.0
175,2,4,3,3,3.0,3.0,4.0,3.0
176,3,0,6,4,6.0,3.0,4.0,5.0
177,4,3,4,5,3.0,3.0,4.0,4.0
178,4,3,4,3,5.0,6.0,4.0,0.0
179,4,3,3,2,3.0,5.0,2.0,4.0
180,3,3,6,4,3.0,4.0,5.0,4.0
181,3,4,3,4,3.0,3.0,3.0,4.0
182,4,2,3,5,6.0,6.0,3.0,5.0
183,2,5,4,3,3.0,3.0,6.0,3.0
184,6,3,5,3,5.0,6.0,3.0,3.0
185,0,2,5,2,5.0,3.0,5.0,4.0
186,3,3,4,6,4.0,0.0,4.0,6.0
187,0,3,4,0,4.0,6.0,3.0,6.0
