,2010,2011,2012,2013,2014,2015,2016,2017
0,4,4,4,3,5.0,3.0,6.0,3.0
1,4,5,5,4,5.0,5.0,3.0,3.0
2,3,3,5,4,4.0,5.0,4.0,4.0
3,4,6,6,4,5.0,5.0,6.0,5.0
4,4,4,4,5,5.0,3.0,5.0,4.0
5,5,3,5,3,5.0,4.0,6.0,4.0
6,3,0,0,5,5.0,4.0,5.0,3.0
7,5,5,5,5,5.0,3.0,5.0,4.0
8,5,6,3,5,4.0,5.0,5.0,5.0
9,4,5,6,3,3.0,4.0,4.0,5.0
10,3,5,4,3,3.0,3.0,5.0,4.0
11,5,4,4,4,5.0,5.0,5.0,3.0
12,4,6,4,4,4.0,5.0,4.0,4.0
13,4,3,4,3,4.0,5.0,4.0,5.0
14,5,3,5,5,5.0,3.0,5.0,4.0
15,3,4,4,4,3.0,3.0,4.0,5.0
16,5,5,4,3,3.0,0.0,3.0,3.0
17,4,6,3,3,4.0,4.0,5.0,3.0
18,0,6,5,5,4.0,5.0,5.0,5.0
19,4,5,3,4,3.0,3.0,5.0,4.0
20,6,5,6,4,5.0,0.0,4.0,5.0
21,2,5,6,5,5.0,4.0,4.0,4.0
22,5,4,5,4,4.0,4.0,4.0,5.0
23,4,4,4,4,3.0,4.0,5.0,3.0
24,5,5,4,4,5.0,5.0,3.0,3.0
25,4,4,6,3,4.0,4.0,5.0,4.0
26,4,5,4,4,5.0,4.0,5.0,4.0
27,5,4,6,5,4.0,5.0,5.0,4.0
28,4,0,6,4,5.0,3.0,6.0,4.0
29,4,4,6,5,3.0,4.0,4.0,4.0
30,3,4,3,4,4.0,5.0,5.0,5.0
31,4,5,6,5,5.0,5.0,6.0,1.0
32,5,6,3,5,4.0,4.0,4.0,5.0
33,4,3,4,3,4.0,4.0,4.0,5.0
34,5,5,4,4,6.0,4.0,5.0,4.0
35,5,5,6,3,4.0,5.0,4.0,4.0
36,3,5,5,4,6.0,4.0,5.0,4.0
37,5,4,5,3,4.0,4.0,6.0,4.0
38,3,5,4,3,4.0,5.0,4.0,3.0
39,4,5,6,0,4.0,6.0,3.0,4.0
40,5,4,6,5,4.0,5.0,3.0,4.0
41,0,4,3,5,6.0,4.0,5.0,4.0
42,1,4,0,3,4.0,5.0,4.0,4.0
43,4,4,4,4,3.0,5.0,5.0,6.0
44,4,4,5,5,6.0,4.0,5.0,5.0
45,5,4,4,5,3.0,5.0,6.0,5.0
46,4,5,4,6,6.0,3.0,4.0,4.0
47,4,3,0,4,5.0,5.0,6.0,6.0
48,6,5,5,4,4.0,5.0,4.0,4.0
