,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,5,3,3,4,4,4,6,6,3,6,6,6,6,4
1,6,3,3,4,4,6,6,6,4,6,4,6,6,4
2,6,6,3,4,3,5,6,6,6,6,6,6,6,4
3,3,6,6,3,4,3,6,6,2,6,6,6,6,3
4,5,5,5,5,4,5,5,5,5,5,5,5,5,5
5,6,6,6,4,5,5,6,6,6,6,5,6,6,4
6,3,2,2,3,3,4,3,3,4,3,4,3,6,4
7,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,5,5,5,5,5,4,5,5,5,5,5,6,6,5
9,5,4,4,4,4,4,6,6,4,5,6,6,6,4
10,4,3,3,2,3,3,4,4,2,4,5,3,3,4
11,4,4,4,4,5,5,4,4,6,6,5,6,6,5
12,6,3,5,4,4,4,6,6,6,6,5,6,6,3
13,6,3,6,4,4,6,6,6,6,6,6,6,6,3
14,6,3,4,5,5,5,6,6,2,6,4,6,3,4
15,6,3,3,4,3,4,6,6,5,4,3,6,3,3
16,6,3,6,4,5,6,6,6,1,6,4,6,4,0
17,3,3,3,3,4,4,3,3,3,6,4,6,6,3
18,6,3,3,2,0,3,6,6,3,3,4,6,3,3
19,4,4,3,4,4,5,5,5,5,4,5,4,5,5
20,6,6,3,4,6,3,6,6,6,6,6,6,6,4
21,4,4,3,3,2,3,2,2,3,6,3,6,1,1
22,6,6,1,5,5,5,6,6,6,6,6,6,6,3
23,6,3,3,5,4,4,6,6,5,6,4,6,6,4
24,6,6,5,5,5,5,6,6,6,6,6,6,6,5
25,3,4,4,4,4,4,6,6,2,2,0,6,1,3
26,2,3,4,4,4,3,2,2,3,6,6,6,6,3
27,4,4,3,5,5,5,4,4,5,5,5,6,0,5
28,3,6,4,4,4,4,6,6,4,6,6,6,6,4
29,3,1,1,4,4,4,3,3,4,3,6,6,6,3
30,4,3,3,3,3,4,3,3,6,6,6,6,6,4
31,4,4,2,0,4,4,4,4,4,4,4,4,4,4
32,6,4,4,3,5,5,4,4,4,4,4,4,4,4
33,4,6,6,4,4,4,6,6,3,3,6,3,6,0
34,5,5,5,4,5,5,4,4,3,6,6,4,6,5
35,5,3,5,5,5,4,6,6,5,5,6,5,6,4
36,3,3,3,3,3,3,3,3,6,6,6,6,6,3
37,4,4,4,5,5,5,6,6,5,6,6,6,6,4
38,4,4,6,3,3,4,3,3,2,6,6,6,6,3
39,3,3,3,4,4,4,6,6,6,6,6,6,6,3
40,6,4,0,0,5,5,0,5,0,0,0,0,0,0
41,6,6,0,0,0,0,0,0,0,0,0,0,0,0
42,3,2,4,4,1,2,2,3,1,1,4,3,4,4
43,4,6,6,4,4,6,6,6,6,6,6,6,6,4
