,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,6,2,4,4,6,6,2,2,5,6,6,6,6,6,3
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5
5,2,3,6,3,6,6,6,6,6,3,6,6,6,6,3
6,3,4,4,4,5,4,4,4,1,5,6,5,6,3,5
7,4,2,5,5,5,5,5,5,5,6,6,6,6,6,5
8,5,5,4,5,5,5,6,6,5,5,6,5,6,6,5
9,6,4,5,5,4,4,6,6,4,6,6,6,6,6,4
10,4,4,3,4,5,4,4,4,0,5,5,0,0,0,4
11,5,4,4,5,5,5,5,5,5,5,6,6,6,6,5
12,3,4,4,4,4,4,6,6,2,3,6,4,6,6,4
13,5,4,0,3,4,4,3,3,5,4,4,5,6,6,5
14,4,3,4,5,5,5,6,6,5,6,6,6,6,6,4
15,5,3,3,3,4,5,6,5,5,5,5,5,6,5,5
16,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3
17,5,5,5,5,5,5,5,5,3,5,5,5,6,6,5
18,5,4,4,5,5,5,5,6,4,5,5,5,5,5,5
19,5,5,5,5,5,3,2,2,2,4,4,3,3,3,4
20,2,1,3,4,4,4,3,3,3,6,6,6,6,6,3
21,4,3,4,4,4,4,4,4,3,6,6,6,6,6,4
22,3,4,4,4,4,4,4,4,4,3,3,6,6,6,4
23,5,5,5,5,5,5,5,5,5,5,5,5,6,2,4
24,5,4,4,4,3,3,3,3,3,5,3,3,3,3,4
25,4,2,1,5,5,5,3,3,3,5,3,5,6,3,4
26,5,1,1,5,5,5,5,5,5,5,6,5,6,5,5
27,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5
28,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
29,4,3,3,5,4,4,4,4,4,6,6,6,6,6,4
30,4,4,4,5,5,4,0,0,4,6,6,6,6,6,4
31,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
32,4,4,4,4,4,6,6,6,6,3,3,6,6,0,3
33,3,4,6,5,4,5,6,6,3,2,3,6,6,6,4
34,5,4,4,4,5,4,4,4,5,5,5,5,5,6,4
35,4,3,3,1,4,4,6,6,3,0,0,0,0,0,3
36,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
37,3,6,6,6,6,6,6,6,5,6,6,6,6,6,3
38,5,4,4,3,4,4,6,6,5,5,5,6,5,6,4
39,6,4,4,3,3,3,6,6,4,2,3,6,2,6,0
40,4,3,3,3,3,3,3,3,3,4,0,6,6,6,4
41,5,5,5,5,5,5,5,5,5,3,3,0,0,0,4
42,4,3,3,3,4,4,3,3,4,2,4,6,4,6,4
43,4,4,4,4,5,3,6,6,4,4,6,5,6,5,4
44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
45,6,3,3,3,6,3,6,6,5,6,6,6,6,6,3
46,6,6,6,3,4,4,6,3,5,4,6,4,6,4,4
47,6,6,6,3,6,3,6,6,1,6,6,6,6,6,4
48,3,3,3,4,4,4,4,4,6,4,4,6,3,6,4
49,1,6,0,1,1,1,1,1,1,1,1,1,1,1,1
50,0,4,0,4,5,5,5,5,6,6,6,6,6,6,5
51,4,4,3,4,4,4,4,6,6,4,6,5,6,5,0
52,5,1,0,5,5,5,5,5,5,6,6,6,6,6,5
53,5,5,5,5,5,5,5,6,6,0,3,3,6,6,5
54,5,5,4,5,6,5,6,6,6,6,6,6,6,6,5
55,4,6,3,4,4,4,6,4,5,4,6,6,6,6,4
56,5,4,4,0,4,4,4,4,0,4,4,4,0,0,4
57,5,3,2,3,3,3,3,3,5,3,3,4,4,6,3
58,0,3,3,3,3,3,1,1,6,4,2,6,6,6,3
59,4,3,3,4,5,4,6,6,3,4,2,4,4,6,4
60,5,6,4,5,4,4,6,6,6,0,0,0,0,1,4
61,5,5,4,4,3,3,3,3,3,4,5,4,3,3,4
62,3,3,3,3,4,4,3,3,3,0,0,0,0,0,4
63,4,4,4,3,4,3,6,6,6,6,6,6,6,6,4
64,3,3,4,4,5,4,4,4,5,5,4,4,3,3,4
65,3,6,3,4,4,3,3,6,5,4,4,4,4,6,4
66,0,6,0,6,6,6,6,6,6,6,6,6,6,6,6
67,4,4,4,4,4,4,6,6,6,3,6,6,6,6,5
68,5,5,5,5,6,5,5,5,6,5,6,6,6,6,5
69,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
70,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
71,5,3,5,5,5,5,5,5,4,3,4,5,5,6,4
72,5,3,3,3,3,5,5,5,5,1,1,1,4,1,4
73,1,2,2,4,4,4,3,3,1,0,0,0,0,0,4
74,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,4,4,4,4,4,4,6,6,6,4,4,4,6,2,4
76,5,3,3,4,4,4,4,4,4,6,6,5,6,6,0
77,5,5,5,5,4,4,4,4,4,6,6,6,6,6,4
78,4,6,6,4,4,4,6,6,6,4,6,4,6,4,4
79,3,2,4,4,3,3,3,4,0,4,6,3,6,6,4
80,6,3,3,2,3,3,3,3,4,3,2,3,3,2,3
81,1,6,6,1,3,1,6,6,6,6,6,0,0,0,0
82,4,3,2,3,3,4,4,4,2,0,0,0,0,0,0
83,3,5,4,5,5,5,4,4,4,6,6,6,6,6,4
84,1,4,3,3,3,3,0,3,4,6,6,6,6,6,3
85,0,0,0,4,4,4,4,4,0,5,0,0,0,5,5
86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
87,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
88,4,3,3,4,4,4,3,3,6,3,6,6,6,6,3
89,4,3,4,4,4,4,4,4,2,4,4,4,4,6,4
90,2,2,3,4,5,3,4,4,5,5,6,5,6,6,4
91,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5
92,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
93,4,3,4,4,5,5,6,6,6,6,6,6,6,6,4
94,3,6,6,4,5,4,4,6,6,6,6,6,6,6,4
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
96,5,6,3,3,3,3,6,6,6,4,6,6,6,6,5
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,4,4,4,5,4,2,2,2,3,3,3,6,6,4
99,6,3,3,3,3,3,3,3,1,6,6,6,6,6,2
100,6,6,6,3,3,3,3,3,6,6,6,6,6,6,3
101,4,4,4,4,5,0,2,2,4,6,6,1,6,6,4
102,5,4,4,4,4,4,4,4,5,5,5,5,4,6,5
103,4,4,4,5,5,5,6,6,4,0,0,0,0,0,0
104,6,6,6,5,5,5,6,6,5,5,6,6,6,6,5
105,4,4,3,4,5,4,6,0,4,4,4,5,6,4,5
106,4,4,3,4,4,4,6,6,2,4,4,6,6,6,4
107,6,6,3,4,4,4,4,4,4,4,4,4,6,6,4
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,4,6,4,2,2,2,2,2,3,2,2,6,3,6,3
110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
111,6,4,6,4,4,1,6,6,6,6,6,6,6,6,4
112,5,4,4,2,4,4,6,6,4,6,6,6,6,6,4
113,6,6,6,6,6,6,6,6,4,6,6,6,6,6,5
114,3,3,4,4,4,4,6,6,4,5,4,4,6,6,4
115,0,0,4,3,0,3,4,0,0,4,0,0,3,0,4
116,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
117,5,5,5,5,5,5,5,5,5,3,3,4,4,4,5
118,6,6,6,5,5,5,6,6,3,5,5,5,6,5,5
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3,1,1,5,5,5,5,5,5,6,6,6,6,6,2
121,3,3,2,5,4,4,3,3,4,4,4,4,2,5,4
122,5,4,3,3,4,3,6,6,6,4,3,4,2,2,4
123,3,4,3,3,4,4,3,4,4,4,4,4,4,4,3
124,4,5,3,4,6,4,6,6,4,4,6,4,6,6,4
125,6,6,6,3,3,3,3,0,4,3,3,4,0,3,3
126,5,4,4,4,4,3,4,4,5,3,4,5,6,6,5
127,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5
128,3,2,3,3,3,3,6,6,4,2,6,6,6,6,3
129,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4
130,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
131,4,4,4,4,5,5,5,5,5,6,6,6,6,6,4
132,6,6,6,4,4,4,6,6,6,6,6,6,6,6,3
133,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
134,0,0,5,5,5,0,0,0,5,0,0,0,0,0,0
135,6,6,5,5,5,5,5,5,5,6,6,6,6,6,5
136,4,4,4,4,3,4,3,4,4,3,3,3,3,3,3
137,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4
138,4,4,3,4,4,5,5,4,5,5,4,4,5,4,5
139,4,4,3,4,4,3,3,3,4,4,3,3,3,4,4
140,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5
141,4,4,4,4,4,4,4,4,2,2,4,3,4,4,4
142,4,5,4,5,5,4,3,5,5,5,4,5,4,5,4
143,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5
144,5,5,5,5,5,5,0,0,5,5,0,0,0,0,5
145,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
146,5,5,5,5,4,4,4,4,4,5,4,4,4,5,5
147,4,4,4,5,5,4,6,6,6,5,6,6,6,6,4
148,5,5,5,3,5,5,4,4,3,5,5,5,5,6,5
149,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3
150,3,3,3,3,3,3,3,3,3,6,6,6,6,6,4
151,6,4,4,4,4,3,3,3,3,3,3,3,3,6,3
152,3,3,3,4,3,5,5,5,4,5,0,2,4,5,2
153,3,3,3,4,4,4,3,3,2,4,6,4,6,6,3
154,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
155,5,4,5,4,5,5,5,5,5,4,4,3,4,4,4
156,2,2,2,2,2,2,2,2,2,4,3,3,6,6,3
157,4,4,4,5,5,4,6,6,5,5,6,5,6,4,5
158,6,3,6,5,4,5,6,6,5,6,6,6,6,6,5
159,5,5,5,5,5,5,6,6,5,6,6,6,6,6,5
160,3,5,2,4,5,4,6,6,3,6,6,6,6,6,4
161,5,4,3,4,5,3,3,3,5,4,4,6,3,4,4
162,4,3,3,3,4,4,3,4,3,4,4,4,4,3,4
163,4,6,4,4,4,4,4,4,5,5,5,5,6,6,4
164,5,4,4,5,5,5,5,5,5,5,4,5,4,4,5
165,3,2,2,3,4,4,4,4,5,5,6,5,6,6,4
166,5,5,4,4,4,4,4,4,4,3,6,5,6,6,4
167,6,6,6,4,5,5,6,6,5,6,6,5,6,6,4
168,5,5,5,4,5,5,6,6,5,5,5,6,6,6,5
169,4,3,4,5,5,5,6,6,6,4,6,6,6,6,4
170,3,3,3,5,3,3,6,6,3,6,6,6,6,6,4
171,3,4,4,5,5,4,6,6,3,6,6,5,6,5,5
172,2,1,1,4,4,4,4,3,4,2,3,4,3,2,3
173,5,5,5,5,5,5,5,5,5,4,4,4,3,3,4
174,2,3,3,5,5,5,5,6,5,5,6,5,6,5,4
175,6,3,4,5,4,5,6,6,5,4,6,6,2,6,4
176,4,4,4,5,4,4,6,6,5,6,6,6,6,6,5
177,5,5,4,5,5,5,2,2,2,6,6,5,6,6,5
178,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4
179,3,3,2,3,5,5,4,3,5,6,6,6,6,6,6
180,5,4,5,5,5,5,0,5,5,6,6,6,6,6,5
181,5,4,3,4,3,3,2,2,4,4,6,6,6,6,4
182,3,3,3,4,3,3,3,3,4,6,6,6,6,6,4
183,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5
184,3,2,3,2,2,4,3,3,3,3,3,5,6,6,3
185,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
186,4,3,4,4,5,5,5,4,0,4,6,6,6,6,4
187,2,1,3,3,1,4,4,4,4,4,4,4,6,6,3
188,3,4,5,5,5,5,5,5,6,5,5,6,6,5,5
189,3,3,4,4,4,3,4,3,1,5,4,5,6,6,3
190,2,4,6,6,4,6,6,6,4,6,6,6,6,6,3
191,5,5,4,4,4,5,5,5,5,5,6,6,6,6,5
192,4,4,4,4,4,4,4,4,6,3,4,4,6,4,4
193,4,4,4,5,5,4,4,4,3,5,4,6,5,6,4
194,5,4,3,4,3,3,3,3,5,6,6,6,6,6,4
