RESPNUM,CCGID,RUN,INTDATE,GATE,AREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,DEPTIME,ARRTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8IMPROVE1,Q8IMPROVE2,Q8IMPROVE3,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10SAFEA,Q10SAFEB,Q10SAFEC,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15PROBCOM1,Q15PROBCOM2,Q15PROBCOM3,Q16LIVE,Q17ST,Q17ZIP,Q17COUNTRY,HOME,Q18AGE,Q19GENDER,Q20INCOME,Q21FLY,Q22SJC,Q22OAK,LANG,WEIGHT,Location 1
1,348,18045,4,54,D,3,2,1,1,36,182,62,2,3,9:20 PM,6:30 PM,6,,,,,,5,,,,,,,2,2,1,2,5,2,5,5,5,4,5,3,3,3,3,2,6,4,5,5,5,999,284,,5,5,5,5,5,5,,,,5,,,,1,5,0,,,5,5,4,5,2,,,,1,CA,94114,US,1,3,2,2,2,2,1,1,0.8694341151,
2,349,18045,4,54,D,3,2,1,1,36,182,62,2,3,9:20 PM,7:00 PM,4,,,,,,2,,,,,,,1,2,2,2,3,2,6,6,2,4,5,5,6,6,3,5,4,5,4,6,5,234,1,,4,5,6,6,4,4,,,,5,12,,,2,,,,,1,4,4,4,2,,,,1,CA,94619,US,3,2,1,1,2,2,2,1,0.8694341151,
3,350,18045,4,54,D,3,2,1,1,36,182,62,2,3,9:20 PM,8:00 PM,3,,,,,,2,,,,,,,2,2,2,1,6,2,6,3,3,5,4,4,6,6,4,2,2,6,1,6,4,130,912,116,5,6,6,4,4,4,,,,5,12,,,1,5,1,2,,5,5,5,5,2,,,,1,CA,94121,US,1,5,1,4,1,2,1,1,0.8694341151,
4,351,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,8:10 PM,2,,,,,,2,,,,,,,1,1,0,1,3,3,6,5,5,5,5,5,5,5,5,5,4,6,4,6,5,,,,5,6,6,5,4,4,,,,5,,,,2,,,,,6,5,5,5,2,,,,1,CA,94404,US,2,3,2,4,2,1,2,1,0.8694341151,
5,352,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,8:20 PM,3,,,,,,2,,,,,,,2,2,2,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,900,,,5,5,5,5,5,5,,,,5,1,,,1,0,0,,,5,5,5,5,2,,,,1,CA,94115,US,1,3,1,1,2,2,2,1,0.8694341151,
6,353,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:00 PM,2,,,,,,5,,,,,,,2,2,1,1,3,3,5,5,4,4,5,5,4,4,5,5,6,5,6,6,4,2,,,5,5,6,5,5,5,,,,4,2,,,2,,,,,5,5,5,5,1,17,,,1,CA,94612,US,3,3,1,1,2,2,1,1,0.8694341151,
7,354,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:00 PM,2,,,,,,2,,,,,,,2,2,1,1,2,1,5,4,4,5,5,5,5,5,5,4,6,6,6,6,5,900,,,5,6,6,5,1,4,,,,5,1,,,2,,,,,7,0,5,5,2,,,,1,CA,95132,US,4,3,1,2,2,2,2,1,0.8694341151,
8,355,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,8:07 PM,3,,,,,,2,,,,,,,2,2,2,2,4,2,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,,,,4,6,6,4,5,4,,,,4,,,,2,,,,,5,5,4,4,2,,,,1,CA,94121,US,1,3,2,2,2,1,1,1,0.8694341151,
9,356,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,6:00 PM,1,,,,,,4,,,,,,,2,1,1,2,6,2,4,4,4,5,4,5,6,6,6,6,6,6,6,6,5,,,,5,6,6,4,5,5,,,,5,,,,2,,,,,5,4,5,5,2,,,,3,NJ,7869,US,12,4,1,3,1,2,2,1,0.8694341151,
10,357,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,1:00 PM,2,,,,,,5,,,,,,,2,2,1,1,3,3,5,4,3,4,3,3,3,3,5,3,6,4,6,6,4,170,107,104,5,5,6,5,5,4,,,,5,1,,,2,,,,,1,3,3,5,2,,,,1,CA,94612,US,3,3,2,1,2,2,1,1,0.8694341151,
